id,stratifiedNarrative,stratifiedCommaLabel
73,"某学校高一、高二、高三年级的学生人数之比为3：3：4，现用分层抽样的方法从该校高中三个年级的学生中抽取容量为50的样本，则应从高二年级抽取（    ）名学生。
","某学校高一、高二、高三年级的学生人数之比为3：3：4#，现用分层抽样的方法从该校高中三个年级的学生中抽取容量为50的样本#，则应从高二年级抽取（    ）名学生。
"
74,"某单位有职工750人，其中，青年职工350人，中年职工250人，为了解单位职工健康情况，现用分层抽样的方法抽取样本，若样本中的青年职工为7人，则样本中的中年职工人数为（　　）


","某单位有职工750人#，其中$，青年职工350人#，中年职工250人#，为了解单位职工健康情况#，现用分层抽样的方法抽取样本#，若样本中的青年职工为7人#，则样本中的中年职工人数为（　　）


"
75,"为了抗震救灾，现要在学生人数比例为2：3：5的A、B、C三所高校中，用分层抽样方法抽取n名志愿者，若在A高校恰好抽出了6名志愿者，那么n=______．

","为了抗震救灾#，现要在学生人数比例为2：3：5的A、B、C三所高校中#，用分层抽样方法抽取n名志愿者#，若在A高校恰好抽出了6名志愿者#，那么n=______．

"
76,一所中学有高一、高二、高三共三个年级的学生1600名，其中高三学生400名．如果通过分层抽样的方法从全体高中学生中抽取一个容量为80人的样本，那么应当从高三年级的学生中抽取的人数是（　　）,一所中学有高一、高二、高三共三个年级的学生1600名#，其中高三学生400名．如果通过分层抽样的方法从全体高中学生中抽取一个容量为80人的样本#，那么应当从高三年级的学生中抽取的人数是（　　）
77,某单位青年职工、中年职工、老年职工的人数之比为7：5：3，为了了解该单位职工的健康情况，用分层抽样的方法从中抽取样本．若样本中的青年职工为14人，则样本容量为（　　）,某单位青年职工、中年职工、老年职工的人数之比为7：5：3#，为了了解该单位职工的健康情况#，用分层抽样的方法从中抽取样本．若样本中的青年职工为14人#，则样本容量为（　　）
78,"某班学生中喜爱看综艺类节目的有18人，体育类节目的有27人，时政类节目的有9人，现采取分层抽样的方法从这些学生中抽取6名学生．求应从喜爱看综艺类节目、体育类节目、时政类节目的学生中抽取的人数.
","某班学生中喜爱看综艺类节目的有18人#，体育类节目的有27人#，时政类节目的有9人#，现采取分层抽样的方法从这些学生中抽取6名学生．求应从喜爱看综艺类节目、体育类节目、时政类节目的学生中抽取的人数.
"
79,"某企业甲、乙、丙三个生产车间的职工人数分别为120人，150人，180人，现用分层抽样的方法抽出一个容量为n的样本，样本中甲车间有4人，那么此样本的容量n=______．
","某企业甲、乙、丙三个生产车间的职工人数分别为120人$，150人$，180人#，现用分层抽样的方法抽出一个容量为n的样本#，样本中甲车间有4人#，那么此样本的容量n=______．
"
80,"某校选修乒乓球课程的学生中，高一年级有40名，高二年级有50名，现用分层抽样的方法在这90名学生中抽取一个样本，已知在高一年级的学生中抽取了8名，则在高二年级的学生中应抽取的人数为______．
","某校选修乒乓球课程的学生中#，高一年级有40名#，高二年级有50名#，现用分层抽样的方法在这90名学生中抽取一个样本#，已知在高一年级的学生中抽取了8名#，则在高二年级的学生中应抽取的人数为______．
"
81,"从四个公司按分层抽样的方法抽取职工参加知识竞赛，其中甲公司共有职工96人．若从甲、乙、丙、丁四个公司抽取的职工人数分别为12，21，25，43，则这四个公司的总人数为（　　）
","从四个公司按分层抽样的方法抽取职工参加知识竞赛#，其中甲公司共有职工96人．若从甲、乙、丙、丁四个公司抽取的职工人数分别为12$，21$，25$，43#，则这四个公司的总人数为（　　）
"
82,"某村有桃树与苹果树若干，现在用分层抽样的方法抽取了桃树与苹果树总数的10%，其中桃树50棵，苹果树80棵，则这个村的苹果树共有（　　）
","某村有桃树与苹果树若干#，现在用分层抽样的方法抽取了桃树与苹果树总数的10%#，其中桃树50棵#，苹果树80棵#，则这个村的苹果树共有（　　）
"
83,"﻿从某社区150户高收入家庭，360户中等收入家庭，90户低收入家庭中，用分层抽样法选出100户调查社会购买力的某项指标，则三种家庭应分别抽取的户数依次为（　　）

","﻿从某社区150户高收入家庭#，360户中等收入家庭#，90户低收入家庭中#，用分层抽样法选出100户调查社会购买力的某项指标#，则三种家庭应分别抽取的户数依次为（　　）

"
84,"﻿某校500名学生中，O型血有200人，A型血有125人，B型血有125人，AB型血有50人，为了研究血型与色弱的关系，需从中抽取一个容量为20的样本．按照分层抽样方法抽取样本，各种血型的人分别抽多少？
S","﻿某校500名学生中#，O型血有200人#，A型血有125人#，B型血有125人#，AB型血有50人#，为了研究血型与色弱的关系#，需从中抽取一个容量为20的样本．按照分层抽样方法抽取样本#，各种血型的人分别抽多少？
S"
85,某市A、B、C三个区共有高中学生20000人，其中A区高中学生7000人，现采用分层抽样的方法从这三个区所有高中学生中抽取一个容量为600人的样本进行学习兴趣调查，则A区应抽取（　　）,某市A、B、C三个区共有高中学生20000人#，其中A区高中学生7000人#，现采用分层抽样的方法从这三个区所有高中学生中抽取一个容量为600人的样本进行学习兴趣调查#，则A区应抽取（　　）
86,"某工厂生产A、B、C三种不同型号的产品，产品数量之比依次为2：3：4，现用分层抽样方法抽出一个容量为n的样本，其中A型号产品有16件，那么此样品容量为n=______．
","某工厂生产A、B、C三种不同型号的产品$，产品数量之比依次为2：3：4#，现用分层抽样方法抽出一个容量为n的样本#，其中A型号产品有16件#，那么此样品容量为n=______．
"
87,"高二某个文科班有男同学10人，女同学40人，现用分层抽样的方法抽取10个同学参加问卷调查，则应抽取男同学______人，女同学______人．
","高二某个文科班有男同学10人#，女同学40人#，现用分层抽样的方法抽取10个同学参加问卷调查#，则应抽取男同学______人#，女同学______人．
"
88,"一个工厂有若干个车间，今采用分层抽样方法从全厂某天的2048件产品中抽取一个容量为128的样本进行质量检查，若某一车间这一天生产256件产品，则从这个车间抽取的产品件数为______．
","一个工厂有若干个车间#，今采用分层抽样方法从全厂某天的2048件产品中抽取一个容量为128的样本进行质量检查#，若某一车间这一天生产256件产品#，则从这个车间抽取的产品件数为______．
"
89,"某学校对学生进行眼睛视力调查，采用分层抽样法抽取，该中学共有学生2000名，抽取一个容量为200的 样本，已知男生比女生多抽了10人，则该校的女生人数应是______人．
","某学校对学生进行眼睛视力调查#，采用分层抽样法抽取#，该中学共有学生2000名#，抽取一个容量为200的 样本#，已知男生比女生多抽了10人#，则该校的女生人数应是______人．
"
90,"某公司有职员150人，中级管理人员40人，高级管理人员10人，要从这200人中抽取40人进行身体检查，如果采用分层抽样的方法，则职员、中级管理人员、高级管理人员各应抽取的人数为（　　）
","某公司有职员150人#，中级管理人员40人#，高级管理人员10人#，要从这200人中抽取40人进行身体检查#，如果采用分层抽样的方法#，则职员、中级管理人员、高级管理人员各应抽取的人数为（　　）
"
91,"某林场有树苗30000棵，其中松树苗4000棵．为调查树苗的生长情况，采用分层抽样的方法抽取一个容量为150的样本，则样本中松树苗的数量为（　　）
","某林场有树苗30000棵#，其中松树苗4000棵．为调查树苗的生长情况#，采用分层抽样的方法抽取一个容量为150的样本#，则样本中松树苗的数量为（　　）
"
92,"﻿一个单位的职工有500人，其中不到35岁的有125人，35～49岁的有280人，50岁以上的有95人．为了了解该单位职工年龄与身体状况的有关指标，从中抽取100名职工作为样本，应该怎样抽取？
","﻿一个单位的职工有500人#，其中不到35岁的有125人#，35～49岁的有280人#，50岁以上的有95人．为了了解该单位职工年龄与身体状况的有关指标#，从中抽取100名职工作为样本#，应该怎样抽取？
"
93,"某学校高一、高二、高三年级的学生人数之比为3：3：4，现用分层抽样的方法从该校高中三个年级的学生中抽取容量为50的样本，则应从高二年级抽取______名学生．
","某学校高一、高二、高三年级的学生人数之比为3：3：4#，现用分层抽样的方法从该校高中三个年级的学生中抽取容量为50的样本#，则应从高二年级抽取______名学生．
"
94,"某单位有职工480人，其中青年职工210人，中年职工150人，老年职工120人，为了了解该单位职工的健康情况，用分层抽样的方法从中抽取样本，若样本中的青年职工为7人，则样本容量为______．
","某单位有职工480人#，其中青年职工210人#，中年职工150人#，老年职工120人#，为了了解该单位职工的健康情况#，用分层抽样的方法从中抽取样本#，若样本中的青年职工为7人#，则样本容量为______．
"
95,"某中学高中学生有900名，学校要从中选出9名同学作为国庆60周年庆祝活动的志愿者．已知高一有400名学生，高二有300名学生，高三有200名学生．为了保证每名同学都有参与的资格，学校采用分层抽样的方法抽取．求高一、高二、高三分别抽取学生的人数.
","某中学高中学生有900名#，学校要从中选出9名同学作为国庆60周年庆祝活动的志愿者．已知高一有400名学生#，高二有300名学生#，高三有200名学生．为了保证每名同学都有参与的资格#，学校采用分层抽样的方法抽取．求高一、高二、高三分别抽取学生的人数.
"
96,"三鹿婴幼儿奶粉事件发生后，质检总局紧急开展了关于液态奶三聚氰胺的专项检查．假设蒙牛，伊利，光明三家公司生产的某批次液态奶分别是 2400箱，3600 箱和4000箱，现分层随机抽取500箱进行检验，则蒙牛、光明这两家公司生产的液态奶被抽取箱数之和为（　　）","三鹿婴幼儿奶粉事件发生后$，质检总局紧急开展了关于液态奶三聚氰胺的专项检查．假设蒙牛$，伊利$，光明三家公司生产的某批次液态奶分别是 2400箱$，3600 箱和4000箱#，现分层随机抽取500箱进行检验#，则蒙牛、光明这两家公司生产的液态奶被抽取箱数之和为（　　）"
97,"一个总体分为A，B两层，用分层抽样方法从总体中抽取一个容量为10的样本．已知B层中每个个体被抽到的概率都为1/12 ，则总体中的个体数为______．
","一个总体分为A$，B两层#，用分层抽样方法从总体中抽取一个容量为10的样本．已知B层中每个个体被抽到的概率都为1/12 #，则总体中的个体数为______．
"
98,"某企业有职150人，其中高级职15人，中级职45人，一般职90人，现抽30人进行分层抽样，则各职称人数分别为（　　）
","某企业有职150人#，其中高级职15人#，中级职45人#，一般职90人#，现抽30人进行分层抽样#，则各职称人数分别为（　　）
"
99,"﻿某校有在校高中学生共1600人，其中高一学生520人，高二学生500人，高三学生580人．如果想通过抽查其中的80人来调查学生的消费情况，考虑到学生的年级高低消费情况有明显差别，而同一年级内消费情况差异较小，应当采用 ______的抽样方法，高三学生中应抽查 ______人．
","﻿某校有在校高中学生共1600人#，其中高一学生520人#，高二学生500人#，高三学生580人．如果想通过抽查其中的80人来调查学生的消费情况#，考虑到学生的年级高低消费情况有明显差别#，而同一年级内消费情况差异较小#，应当采用 ______的抽样方法#，高三学生中应抽查 ______人．
"
100,"某学校共有教师490人，其中不到40岁的有350人，40岁及以上的有140人．为了了解普通话在该校中的推广普及情况，用分层抽样的方法，从全体教师中抽取一个容量为70人的样本进行普通话水平测试，其中在不到40岁的教师中应抽取的人数为______．
","某学校共有教师490人#，其中不到40岁的有350人#，40岁及以上的有140人．为了了解普通话在该校中的推广普及情况#，用分层抽样的方法$，从全体教师中抽取一个容量为70人的样本进行普通话水平测试#，其中在不到40岁的教师中应抽取的人数为______．
"
101,"某公司生产三种型号的轿车，产量分别为1200辆、6000辆和2000辆，为检验该公司的产品质量，现用分层抽样的方法抽取46辆进行检验，这三种型号的轿车依次应抽取______辆、______辆、______辆．
","某公司生产三种型号的轿车$，产量分别为1200辆、6000辆和2000辆#，为检验该公司的产品质量#，现用分层抽样的方法抽取46辆进行检验#，这三种型号的轿车依次应抽取______辆、______辆、______辆．
"
102,"某校高一、高二、高三三个年级的学生数分别为1500人、1200人和1000人，现采用按年级分层抽样法了解学生的视力状况，已知高一年级抽查了75人，则这次调查三个年级共抽查了 ______人．
","某校高一、高二、高三三个年级的学生数分别为1500人、1200人和1000人#，现采用按年级分层抽样法了解学生的视力状况#，已知高一年级抽查了75人#，则这次调查三个年级共抽查了 ______人．
"
103,"一个单位有职工160人，其中有业务员104人，管理人员32人，后勤服务人员24人，要从中抽取一个容量为20的样本，用分层抽样的方法抽取样本，则在20人的样本中应抽取管理人员人数为（　　）
","一个单位有职工160人#，其中有业务员104人#，管理人员32人#，后勤服务人员24人#，要从中抽取一个容量为20的样本#，用分层抽样的方法抽取样本$，则在20人的样本中应抽取管理人员人数为（　　）
"
104,"某学校有教师300人，其中高级教师90人，中级教师150人，初级教师60人，为了了解教师收入状况，用分层抽样方法抽取容量为40人的一个样本，则抽取的中级教师人数是______．
","某学校有教师300人#，其中高级教师90人#，中级教师150人#，初级教师60人#，为了了解教师收入状况#，用分层抽样方法抽取容量为40人的一个样本#，则抽取的中级教师人数是______．
"
105,"某村有旱地与水田若干亩，现在需要估计平均亩产量，用按5%比例分层抽样的方法抽取了15亩旱地、45亩水田进行调查，则这个村的旱地与水田的亩数分别为（　　）
","某村有旱地与水田若干亩#，现在需要估计平均亩产量#，用按5%比例分层抽样的方法抽取了15亩旱地、45亩水田进行调查#，则这个村的旱地与水田的亩数分别为（　　）
"
106,"A，B，C三种零件，其中B种零件300个，C种零件200个，采用分层抽样方法抽取一个容量为45的样本，A种零件被抽取20个，C种零件被抽取10个，三种零件总共有______个．
","A$，B$，C三种零件#，其中B种零件300个#，C种零件200个#，采用分层抽样方法抽取一个容量为45的样本#，A种零件被抽取20个#，C种零件被抽取10个#，三种零件总共有______个．
"
107,"从56名男教师和42名女教师中，采用分层抽样的方法，抽出一个容量为14的样本．那么这个样本中的男教师的人数是______
","从56名男教师和42名女教师中#，采用分层抽样的方法$，抽出一个容量为14的样本．那么这个样本中的男教师的人数是______
"
108,"某校有高级教师26人，中级教师104人，其他教师若干人．为了了解该校教师的工资收入情况，若按分层抽样从该校的所有教师中抽取56人进行调查，已知从其他教师中共抽取了16人，则该校共有教师______人．
","某校有高级教师26人#，中级教师104人#，其他教师若干人．为了了解该校教师的工资收入情况#，若按分层抽样从该校的所有教师中抽取56人进行调查#，已知从其他教师中共抽取了16人#，则该校共有教师______人．
"
109,"某地区高中分三类，A类校共有学生4000人，B类校共有学生2000人，C类校共有学生3000人，现欲抽样分析某次考试的情况，若抽取900份试卷进行分析，则从A类校抽取的试卷份数应为（　　）
","某地区高中分三类#，A类校共有学生4000人#，B类校共有学生2000人#，C类校共有学生3000人#，现欲抽样分析某次考试的情况#，若抽取900份试卷进行分析#，则从A类校抽取的试卷份数应为（　　）
"
110,"具有A、B、C三种性质的总体，其容量为63，将A、B、C三种性质的个体按1：2：4的比例进行分层抽样调查．如果抽取的样本容量为21，则A、B、C三种性质的个体应分别抽取（　　）
","具有A、B、C三种性质的总体$，其容量为63#，将A、B、C三种性质的个体按1：2：4的比例进行分层抽样调查．如果抽取的样本容量为21#，则A、B、C三种性质的个体应分别抽取（　　）
"
111,"某学校有老师300人，男学生1200人，女学生1500人．现用分层抽样的方法从所有师生中抽取一个容量为n的样本．已知从男学生中抽取的人数为120，则n等于（　　）
","某学校有老师300人#，男学生1200人#，女学生1500人．现用分层抽样的方法从所有师生中抽取一个容量为n的样本．已知从男学生中抽取的人数为120#，则n等于（　　）
"
112,"某城市有学校500所，其中大学10所，中学200所，小学290所，现在用分层抽样抽取50所学校进行一项调查，应该抽取大学______所，中学______所，小学______所．

","某城市有学校500所#，其中大学10所#，中学200所#，小学290所#，现在用分层抽样抽取50所学校进行一项调查#，应该抽取大学______所#，中学______所#，小学______所．

"
113,"一个总体分为A，B两层，其个体数之比为4：1，用分层抽样方法从总体中抽取一个容量为10的样本，已知B层中抽取的样本数为2，则A层中抽取的样本个数为______．

","一个总体分为A$，B两层$，其个体数之比为4：1#，用分层抽样方法从总体中抽取一个容量为10的样本#，已知B层中抽取的样本数为2#，则A层中抽取的样本个数为______．

"
114,校有行政人员、教学人员和教辅人员共200人，其中教学人员与教辅人员的比为10：1，行政人员有24人，现采取分层抽样容量为50的样本，那么行政人员应抽取的人数为（　　）,校有行政人员、教学人员和教辅人员共200人#，其中教学人员与教辅人员的比为10：1#，行政人员有24人#，现采取分层抽样容量为50的样本#，那么行政人员应抽取的人数为（　　）
115,"2012年11月，强台风“海葵”登陆我国沿海地区，中国气象局也在五年来首次启动重大气象灾害一级应急响应．某社区采用分层抽样对居民进行知晓情况调查．已知该社区的青年人、中年人和老年人分别有500人，1500人，1000人，若在中年人中的抽样人数是75，则在老年人中的抽样人数应该是______．

","2012年11月$，强台风“海葵”登陆我国沿海地区#，中国气象局也在五年来首次启动重大气象灾害一级应急响应．某社区采用分层抽样对居民进行知晓情况调查．已知该社区的青年人、中年人和老年人分别有500人$，1500人$，1000人#，若在中年人中的抽样人数是75#，则在老年人中的抽样人数应该是______．

"
116,某连队身高符合建国60周年国庆阅兵标准的士兵共有45人，其中18岁～19岁的士兵有15人，20岁～22岁的士兵有20人，23岁以上的士兵有10人，若该连队有9个参加阅兵的名额，如果按年龄分层选派士兵，那么，该连队年龄在23岁以上的士兵参加阅兵的人数为（　　）,某连队身高符合建国60周年国庆阅兵标准的士兵共有45人#，其中18岁～19岁的士兵有15人#，20岁～22岁的士兵有20人#，23岁以上的士兵有10人#，若该连队有9个参加阅兵的名额#，如果按年龄分层选派士兵#，那么$，该连队年龄在23岁以上的士兵参加阅兵的人数为（　　）
117,"某单位有老年人27人，中年人54人，青年人81人，为调查身体健康状况，需要从中抽取一个容量为36的样本，用分层抽样方法应分别从老年人、中年人、青年人中应各抽取______．

","某单位有老年人27人#，中年人54人#，青年人81人#，为调查身体健康状况#，需要从中抽取一个容量为36的样本#，用分层抽样方法应分别从老年人、中年人、青年人中应各抽取______．

"
118,"某中学有900位同学，其中高一有400名学生，高二有300名学生，高三有200名学生，现从中抽取45人作问卷调查，用分层抽样方法确定高一、高二、高三3个层面上取的学生数分别为（　　）
","某中学有900位同学#，其中高一有400名学生#，高二有300名学生#，高三有200名学生#，现从中抽取45人作问卷调查#，用分层抽样方法确定高一、高二、高三3个层面上取的学生数分别为（　　）
"
119,"某学校有在编人员160人，其中行政人员16人，教师112人，后勤人员32人，教育部门为了解决学校机构改革意见，要从中抽取一个容量为20的样本，若用分层抽样法，则行政人员应抽取______人，教师应抽取______人，后勤人员应抽取______人．

","某学校有在编人员160人#，其中行政人员16人#，教师112人#，后勤人员32人#，教育部门为了解决学校机构改革意见#，要从中抽取一个容量为20的样本#，若用分层抽样法#，则行政人员应抽取______人#，教师应抽取______人#，后勤人员应抽取______人．

"
120,"调查队想从某学校108名高中生，90名初中生，12名教师中，用分层抽样的方法抽取一个容量为n的样本，要求初中生有6人，则抽取的样本容量n为 ______人．

","调查队想从某学校108名高中生#，90名初中生#，12名教师中#，用分层抽样的方法抽取一个容量为n的样本#，要求初中生有6人#，则抽取的样本容量n为 ______人．

"
121,"某中学高中学生有900名．为了考察他们的体重状况，打算抽取容量为45的一个样本．已知高一有400名学生，高二有300名学生，高三有200名学生．应采用什么抽样方式？高一、二、三各抽取多少名学生？

","某中学高中学生有900名．为了考察他们的体重状况#，打算抽取容量为45的一个样本．已知高一有400名学生#，高二有300名学生#，高三有200名学生．应采用什么抽样方式？高一、二、三各抽取多少名学生？

"
122,"某校有老师200人，男学生1200人，女学生1000人，现用分层抽样的方法从所有师生中抽取一个容量为N的样本，已知女学生中抽取的人数为80，则N=______．

","某校有老师200人#，男学生1200人#，女学生1000人#，现用分层抽样的方法从所有师生中抽取一个容量为N的样本#，已知女学生中抽取的人数为80#，则N=______．

"
123,"某单位有青年职工300人，中年职工150人，老年职工100人．为调查职工健康状况，采用分层抽样的方法，抽取容量为33的样本，则应从老年职工中抽取的人数为______．

","某单位有青年职工300人#，中年职工150人#，老年职工100人．为调查职工健康状况#，采用分层抽样的方法$，抽取容量为33的样本#，则应从老年职工中抽取的人数为______．

"
124,"某大学共有本科生5000人，其中一、二、三、四年级的人数比为4：3：2：1，要用分层抽样的方法从所有本科生中抽取一个容量为200的样本，则应抽取三年级的学生人数为（　　）
","某大学共有本科生5000人#，其中一、二、三、四年级的人数比为4：3：2：1#，要用分层抽样的方法从所有本科生中抽取一个容量为200的样本#，则应抽取三年级的学生人数为（　　）
"
125,"某学校在校学生2000人，为了迎接2010年亚运会，学校举行了亚运会跑步和爬山比赛活动，每人都参加而且只参加其中一项比赛，高一级、高二级、高三级参与跑步比赛的人数分别为a、b、c，高一级、高二级、高三级参与爬山比赛的人数分别为x、y、z，其中a：b：c=2：5：3，全校参与爬山的人数占总人数的1/4．为了了解学生对本次活动的满意程度，从中抽取一个200人的样本进行调查，则高三参与跑步的学生中应抽取（　　）


","某学校在校学生2000人#，为了迎接2010年亚运会$，学校举行了亚运会跑步和爬山比赛活动#，每人都参加而且只参加其中一项比赛#，高一级、高二级、高三级参与跑步比赛的人数分别为a、b、c#，高一级、高二级、高三级参与爬山比赛的人数分别为x、y、z#，其中a：b：c=2：5：3#，全校参与爬山的人数占总人数的1/4．为了了解学生对本次活动的满意程度#，从中抽取一个200人的样本进行调查#，则高三参与跑步的学生中应抽取（　　）


"
126,"某高校中文、数学、英语、体育四个专业分别有400、300、150、150名学生，为了了解学生的就业倾向，用分层抽样的方法从该校这四个专业共抽取n名学生进行调查，其中中文学生抽取了16名，则体育专业抽取的学生人数为______人．

","某高校中文、数学、英语、体育四个专业分别有400、300、150、150名学生#，为了了解学生的就业倾向#，用分层抽样的方法从该校这四个专业共抽取n名学生进行调查#，其中中文学生抽取了16名#，则体育专业抽取的学生人数为______人．

"
127,"某工厂甲、乙、丙三个车间生产了同一种产品，数量分别为120件，80件，60件．为了解它们的产品质量是否存在显著差异，用分层抽样方法抽取了一个容量为n的样本进行调查，其中从丙车间的产品中抽取了3件，则n=（　　）

","某工厂甲、乙、丙三个车间生产了同一种产品$，数量分别为120件$，80件$，60件．为了解它们的产品质量是否存在显著差异#，用分层抽样方法抽取了一个容量为n的样本进行调查#，其中从丙车间的产品中抽取了3件#，则n=（　　）

"
128,"某学校有3000名学生，其中高三年级有900名学生．为调查学生的学习时间情况，采用分层抽样的方法抽取一个容量为150的样本，则样本高三年级的学生人数为（　　）

","某学校有3000名学生#，其中高三年级有900名学生．为调查学生的学习时间情况#，采用分层抽样的方法抽取一个容量为150的样本#，则样本高三年级的学生人数为（　　）

"
129,"某中学初一年级540人，初二年级440人，初三年级420人，用分层抽样的方法，抽取容量为70的样本，则初一、初二、初三三个年级分别抽取（　　）


","某中学初一年级540人#，初二年级440人#，初三年级420人#，用分层抽样的方法$，抽取容量为70的样本#，则初一、初二、初三三个年级分别抽取（　　）


"
130,"设甲、乙、丙三个加工厂共生产玩具6000件，其中甲厂生产了1440件．现采用分层抽样的方法从三个加工厂抽取一个容量为500件的样本进行质量检测，则应从甲加工厂抽取______件玩具．

","设甲、乙、丙三个加工厂共生产玩具6000件#，其中甲厂生产了1440件．现采用分层抽样的方法从三个加工厂抽取一个容量为500件的样本进行质量检测#，则应从甲加工厂抽取______件玩具．

"
131,"一个公司共有240名员工，下设三部门，要采用分层抽样方法从全体员工中抽取一个容量为20的样本．已知甲部门有36名员工，那么从甲部门抽取的员工人数是______．

","一个公司共有240名员工#，下设三部门#，要采用分层抽样方法从全体员工中抽取一个容量为20的样本．已知甲部门有36名员工#，那么从甲部门抽取的员工人数是______．

"
132,"某公司生产三种型号的轿车，产量分别为A型号1200辆、B型号6000辆和C型号2000辆．为检验这三种型号轿车的质量，现用分层抽样的方法抽取46辆进行检验，那么C型号的轿车应抽取______辆．

","某公司生产三种型号的轿车$，产量分别为A型号1200辆、B型号6000辆和C型号2000辆．为检验这三种型号轿车的质量#，现用分层抽样的方法抽取46辆进行检验#，那么C型号的轿车应抽取______辆．

"
133,"某学校共有教师400人，其中不到40岁的有250人，40岁及以上的有150人，为检查普通话在该校普及情况，用分层抽样的方法，从全体教师中抽取一个容量为80人的样本进行普通话水平测试，在不到40岁的教师中应抽取的人数是______．

","某学校共有教师400人#，其中不到40岁的有250人#，40岁及以上的有150人#，为检查普通话在该校普及情况#，用分层抽样的方法$，从全体教师中抽取一个容量为80人的样本进行普通话水平测试#，在不到40岁的教师中应抽取的人数是______．

"
134,"在900个零件中，有一级品400个，二级品300个，三级品200个，现采用分层抽样抽取容量为45的样本，那么一级品，二级品，三级品抽取的个数分别为 ______．

","在900个零件中#，有一级品400个#，二级品300个#，三级品200个#，现采用分层抽样抽取容量为45的样本#，那么一级品$，二级品$，三级品抽取的个数分别为 ______．

"
135,"要从165个人中抽取15人进行身体检查，现采用分层抽样的方法进行抽取，若这165人中老人的人数为22人，则老年人中被抽到参加健康检查的人数是（　　）


","要从165个人中抽取15人进行身体检查#，现采用分层抽样的方法进行抽取#，若这165人中老人的人数为22人#，则老年人中被抽到参加健康检查的人数是（　　）


"
136,"某商场销售甲、乙、丙三种不同型号的钢笔，甲、乙、丙三种型号钢笔数量之比依次为 2：3：4．现用分层抽样的方法抽出一个容量为n的样本，其中甲型钢笔有12支，则此样本容量n=______．","某商场销售甲、乙、丙三种不同型号的钢笔#，甲、乙、丙三种型号钢笔数量之比依次为 2：3：4．现用分层抽样的方法抽出一个容量为n的样本#，其中甲型钢笔有12支#，则此样本容量n=______．"
137,"某校共有在校生750人，高一年级350人，高二年级250人，高三年级150人，为了了解该校学生的健康情况，用分层抽样的方法从中抽取样本．若样本中高一年级为7人，则样本容量为（　　）

","某校共有在校生750人#，高一年级350人#，高二年级250人#，高三年级150人#，为了了解该校学生的健康情况#，用分层抽样的方法从中抽取样本．若样本中高一年级为7人#，则样本容量为（　　）

"
138,"某学校高一年级500名学生中，血型为O型的有200人，A型的有125人，B型的有125人，AB型的有50人，为了研究血型与色弱之间的关系，用分层抽样的方法抽取一个容量为40的样本，则在血型为O型的学生中应抽取______人．
","某学校高一年级500名学生中#，血型为O型的有200人#，A型的有125人#，B型的有125人#，AB型的有50人#，为了研究血型与色弱之间的关系#，用分层抽样的方法抽取一个容量为40的样本#，则在血型为O型的学生中应抽取______人．
"
139,"某地区有A、B、C三家养鸡场，养鸡的数量分别是12000、8000、4000只，为了预防禽流感，现用合适的抽样方法从中抽取一个容量为120只的样本检查疫情，则应从A、B、C三家养鸡场分别抽取的个体数为 ______．

","某地区有A、B、C三家养鸡场$，养鸡的数量分别是12000、8000、4000只#，为了预防禽流感#，现用合适的抽样方法从中抽取一个容量为120只的样本检查疫情#，则应从A、B、C三家养鸡场分别抽取的个体数为 ______．

"
140,"某市有大型、中型与小型商店共1500家，它们的家数之比为1：5：9．用分层抽样抽取其中的30家进行调查，则中型商店应抽出（　　）家．


","某市有大型、中型与小型商店共1500家$，它们的家数之比为1：5：9．用分层抽样抽取其中的30家进行调查#，则中型商店应抽出（　　）家．


"
141,"一个单位有职工800人，期中具有高级职称的160人，具有中级职称的320人，具有初级职称的200人，其余人员120人．为了解职工收入情况，决定采用分层抽样的方法，从中抽取容量为40的样本．则从上述各层中依次抽取的人数分别是（　　）


","一个单位有职工800人#，期中具有高级职称的160人#，具有中级职称的320人#，具有初级职称的200人#，其余人员120人．为了解职工收入情况#，决定采用分层抽样的方法$，从中抽取容量为40的样本．则从上述各层中依次抽取的人数分别是（　　）


"
142,"某汽车经销商在国庆长假中销售了高级轿车54辆，中级轿车108辆，经济型轿车162辆，现要对其中36辆车进行售后调查，为了使调查更具代表性，则应选（　　）

","某汽车经销商在国庆长假中销售了高级轿车54辆#，中级轿车108辆#，经济型轿车162辆#，现要对其中36辆车进行售后调查#，为了使调查更具代表性$，则应选（　　）

"
143,"学校A有学生200人，学校B有学生300人，学校C有学生500人，从这三所学校的学生中用分层抽样的方法共得到20人当代表，则学校A、B、C依次抽得的人数是 ______．

","学校A有学生200人#，学校B有学生300人#，学校C有学生500人#，从这三所学校的学生中用分层抽样的方法共得到20人当代表#，则学校A、B、C依次抽得的人数是 ______．

"
144,"为了调查城市PM2.5的值，按地域把36个城市分成甲、乙、丙三组，对应的城市数分别为6，12，18．若用分层抽样的方法抽取12个城市，则乙组中应抽取的城市数为______．

","为了调查城市PM2.5的值#，按地域把36个城市分成甲、乙、丙三组$，对应的城市数分别为6$，12$，18．若用分层抽样的方法抽取12个城市#，则乙组中应抽取的城市数为______．

"
